gauss/kronrod,x,w
g,0.98940093499164993259615417345033262742627407165764513005122390473132413722,0.027152459411754094851780572456018103512267375566760797990610319073804113664
g,0.9445750230732325760779884155346083450911392725910726009255536520666097889,0.062253523938647892862843836994377694274986508352906857901303515819535738887
g,0.86563120238783174388046789771239313238733538484752670810351142556776039771,0.095158511682492784809925107602246226355263503183712658156822287229631759578
g,0.75540440835500303389510119484744226835381365645750300978175717692229686103,0.12462897125553387205247628219201642014488685922220267994475059042941096392
g,0.61787624440264374844667176404879101899188221776565779410379735554173331776,0.14959598881657673208150173054747854897049106820783646680542196218736040402
g,0.45801677765722738634241944298357757354003161303552349090115475094775917429,0.16915651939500253818931207903035996221163947341602828174508293568080366421
g,0.2816035507792589132304605014604961064860694907705998005488347339559251795,0.18260341504492358886676366796921993938355622365464928241849514437943046495
g,0.095012509837637440185319335424958063130353055689065456697219817225125298245,0.18945061045506849628539672320828310514690898839590297503751324520002289077
k,0.99823927414544451418328237126242924950420072208567647708510128054576053605,0.0047427770492473179063440877224226622454138018962687292505870577859481327849
k,0.98940093499164993259615417345033262742627407165764513005122390473132413722,0.01325793068809115724543298539375029743157672375413346764527728153339728657
k,0.97150595096939259430410985825918298874588221671895711970161015015601492787,0.022498859440049444029474671942736791247573098073652724996771563893756860853
k,0.9445750230732325760779884155346083450911392725910726009255536520666097889,0.031260543647380528239661154138738052394004608794556001729135554471464063645
k,0.90915766701234294862255733288280893212068952686976270095012433241079770032,0.039512951202421964003078606929550842775042366608959962133642278345738538926
k,0.86563120238783174388046789771239313238733538484752670810351142556776039771,0.047506215976407017234986327394422748587790260350791973626035635241443217378
k,0.81424028706244446809457257758839814177497788687754175967435314515424551996,0.055205633095422172303120001393629290468374694674528636773459995423172170299
k,0.75540440835500303389510119484744226835381365645750300978175717692229686103,0.062358806011834855470397014742265269687347417806281140049727557191183970038
k,0.68974110668176230387619985801658325338761360983458013411361592031518440992,0.068862995191531243001306696674628858145881864315566298742178045090955410258
k,0.61787624440264374844667176404879101899188221776565779410379735554173331776,0.07476982388559955753386645293119384475787921711281763775306052425438260984
k,0.54040767635213974362542834405159118220098565357905735007957430742033558529,0.080053941263719286445983306344536615336928959289317741914336939390566012248
k,0.45801677765722738634241944298357757354003161303552349090115475094775917429,0.084595803792590637585459382901613110043596724353774185128403078768948928053
k,0.37148378087841628868402794707952285502230417212171827565320390719081255225,0.08833750257911273141357403046802976921067310897879946488304341397801391626
k,0.2816035507792589132304605014604961064860694907705998005488347339559251795,0.091292032828191662272226594165447121186327187381171300879186283848132961325
k,0.18916857901808372631471208663494236120448952789147939978790547945165762491,0.093438674060921230478147190079643790382483481641309028817904285363990206107
k,0.095012509837637440185319335424958063130353055689065456697219817225125298245,0.094728401247230041326733968799470779103923834530089668244508072989172303732
k,0,0.095154216080498307020415055955840313990365300875964074865484864859466823367
